Particle #,Steps,Kill Event,Charge,Starting Global x-Position (mm),Starting Global y-Position (mm),Starting Global z-Position (mm),Ending Calorimeter x-Position (mm),Ending Calorimeter y-Position (mm),Starting Momentum (GeV/c),Ending Momentum (GeV/c),Delta Momentum (GeV/c),Steps Inside Short Quad,Distance Inside Short Quad (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside Long Quad,Distance Inside Long Quad (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside Standoff Plate,Distance Inside Standoff Plate (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside HV Standoff,Distance Inside HV Standoff (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside HV Standoff Screws,Distance Inside HV Standoff Screws (cm),Total # of Photons Released,# of Detectable Photons Released,dt,Pair Produced,Kill Timestamp,x Calorimeter Angle,y Calorimeter Angle,Total Calorimeter Angle
0,6465,Calorimeter Top Contact,1.0,-5020.054,-5037.976,2.059,0.0,0.0,2.2554518,2.1957757,-0.0596760,0.0,0.0,0,0,23.0,0.689522635704,0,0,0.0,0.0,0,0,12.0,0.35975094007,1,0,0.0,0.0,0,0,1.000000e-12,0.0,6.465000e-09,0,0,0
0,8788,Calorimeter Contact,1.0,-4199.608,5705.532,2.025,0.0503483674605,0.000915193935711,2.0842580,1.7210890,-0.3631690,0.0,0.0,0,0,28.0,0.839418854857,1,1,0.0,0.0,0,0,17.0,0.509647159286,1,0,0.0,0.0,0,0,1.000000e-12,0.0,8.788000e-09,1.7355968222,1.57037091019,1.35622369166
1,1277,Inner Limit Reached,1.0,-3176.700,6306.759,1.531,0.0,0.0,0.1038325,0.1038325,0.0000000,0.0,0.0,0,0,6.0,0.17987329655,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,1.0,5.245000e-09,0,0,0
2,1323,Into the Iron,-1.0,-3176.700,6306.759,1.531,0.0,0.0,0.1038325,0.1038324,-0.0000001,0.0,0.0,0,0,33.0,0.989303131024,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,1.0,5.291000e-09,0,0,0
0,5444,Calorimeter Top Contact,1.0,-5402.641,-4594.813,-5.327,0.0,0.0,2.4481072,2.3030194,-0.1450878,0.0,0.0,0,0,34.0,1.01929433338,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,5.444000e-09,0,0,0
0,4356,Calorimeter Top Contact,1.0,-7037.801,-1067.664,1.726,0.0,0.0,1.8087746,1.8087746,-0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,4.356000e-09,0,0,0
0,9097,Inner Limit Reached,1.0,6555.302,2755.562,19.835,0.0,0.0,1.8412004,1.8412261,0.0000257,0.0,0.0,0,0,17.0,0.509647158972,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,9.097000e-09,0,0,0
0,9080,Calorimeter Contact,1.0,-870.765,7067.837,32.557,-0.0162790063873,0.0289325157358,2.2611899,2.2611899,-0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,9.080000e-09,1.6592178162,1.56946506613,1.43269369869
0,10233,Calorimeter Contact,1.0,5456.047,4550.686,15.745,-0.0914763341488,0.0213557088362,2.6704542,2.6704788,0.0000246,0.0,0.0,0,0,38.0,1.13921131954,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,1.023300e-08,1.58538677757,1.57252426108,1.50686223904
0,7188,Calorimeter Contact,1.0,-5994.608,-3811.248,11.008,-0.056313406498,0.00666008638395,2.2287023,2.2287285,0.0000262,0.0,0.0,0,0,25.0,0.7494811253,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,7.188000e-09,1.63929978944,1.56874875773,1.45263220451
0,6959,Calorimeter Top Contact,1.0,55.219,7128.871,-17.751,0.0,0.0,2.3014514,2.3014514,-0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,6.959000e-09,0,0,0
0,5718,Calorimeter Contact,1.0,1701.323,-6870.819,6.406,-0.0884191273359,0.00603060157932,2.2961928,2.2961952,0.0000024,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,5.718000e-09,1.60435290534,1.57057541429,1.48763079153
