x xp y yp
0.00094567 0.00026026 0.0086466 -0.00031101
0.0087716 -0.0022133 0.0020808 -0.0007389
-0.0030475 -0.0020713 0.015575 0.00063419
0.0023336 -0.000047877 0.0027989 -0.00066836
0.0084807 0.0012592 0.0045874 -0.00090949
0.0081238 -0.001961 0.019092 -0.00079169
0.034612 -0.0016097 0.0022051 -0.000097725
0.0047712 -0.0012186 0.017968 -0.00024866
-0.019123 -0.00094484 0.00060901 0.0014547
0.015731 0.00027416 -0.020947 -0.00035833
-0.0092513 -0.0013255 -0.011039 0.000073793
-0.0097646 0.00026399 -0.030574 -0.00012388
0.032085 0.000046824 0.0052872 0.000020736
0.033321 0.00052845 0.010817 0.00016034
0.027268 -0.0014251 -0.0016584 0.00039769
-0.011731 0.0028708 0.013284 0.00057478
-0.00068704 0.0026049 -0.0038964 0.00069209
0.0035378 0.0028721 0.024578 -0.00005791
-0.0040125 -0.00074908 0.0010391 0.00025572
0.015203 -0.0015517 0.018536 0.00073623
0.012926 -0.0023457 0.014978 -0.00027519
-0.0064223 0.00039271 -0.0092751 -0.00066513
0.012659 0.00066679 -0.0043684 -0.0012134
-0.0048989 -0.0006387 0.020923 -0.001071
-0.014143 -0.00051154 0.0039925 0.0010382
0.0028433 -0.0016018 0.0064939 0.00078658
0.013531 0.00047427 -0.017496 0.0013429
0.030748 0.00060427 -0.00049852 -0.00098721
0.019862 0.0018601 0.018605 0.00067891
0.012628 -0.0016768 0.0086502 0.0018722
0.0012622 -0.0017654 -0.0040821 -0.00033715
-0.0087624 -0.002046 -0.025 -0.00027542
0.025645 0.001516 0.01516 -0.0013513
0.013535 -0.0011382 -0.0039942 -0.00025638
0.0015273 0.003192 0.0018717 -0.00090808
0.0014725 0.000959 0.007925 -0.00073988
0.0091149 0.0029202 0.005126 -0.00012982
0.004368 0.00029032 0.0044434 -0.0003766
-0.0099424 -0.00036361 0.013812 -0.00069468
-0.016605 -0.0013654 0.015406 -0.00036167
-0.0033733 0.000015661 -0.0023704 -0.00095701
-0.014959 0.0015503 -0.0099006 0.00078797
-0.01448 -0.003106 0.0056296 0.00061505
-0.017067 0.0016886 0.021897 -0.00052235
-0.0011698 0.00060373 0.02047 0.0017882
0.016629 -0.0011674 0.0087588 0.00024238
0.019573 -0.00053724 0.01361 0.0018678
-0.035533 0.0013514 0.012612 0.0003028
0.014139 -0.00038919 0.03036 -0.00055505
0.0071682 -0.0030286 0.01007 -0.0017013
-0.012056 -0.00025478 0.0043611 -0.0005973
-0.0037868 -0.00060458 -0.018164 -0.00047365
-0.01116 0.00065085 0.013835 -0.00018363
-0.015907 0.0016246 -0.01998 0.00043648
0.0016615 -0.00088408 0.010296 0.00015084
-0.006259 0.0018982 -0.0056139 0.000096967
0.018175 0.0013233 0.0039039 -0.0019944
0.033973 0.0012175 0.0034334 0.00071836
0.0096164 -0.00014912 0.029027 -0.00030749
-0.0018478 0.00041443 -0.0114 -0.00059237
-0.014293 -0.00048804 -0.012242 -0.00011498
0.0061816 -0.002062 0.019123 0.00095894
0.026278 -0.0010811 0.015151 -0.00037964
-0.0086126 -0.0013345 0.0039943 -0.00086678
-0.0074791 -0.0017661 0.0051885 -0.0010356
0.0057402 0.00068626 0.014413 0.00099498
-0.011822 -0.00087833 0.02357 0.0012859
0.011787 -0.001949 -0.018533 -0.0012514
0.032336 -0.000035028 -0.000098941 0.0010491
0.0059728 0.0020802 -0.0087077 -0.0015945
-0.010905 -0.0002472 -0.0032261 -0.000059351
0.014524 -0.0011106 0.012199 -0.0007209
0.0035016 -0.00051878 -0.012483 -0.0012803
0.017075 -0.00098972 -0.0034538 -0.001486
-0.031787 -0.0026365 -0.012774 -0.00040914
0.022736 0.00046759 -0.0232 -0.0002007
0.00011217 0.00069991 0.0020588 0.00056895
0.011346 -0.00039662 -0.013967 -0.00036239
-0.021744 -6.2579E-06 -0.014173 -0.00049187
-0.0010738 -0.0020332 0.0010178 0.0017409
0.015813 -0.0013975 -0.015884 0.0016108
-0.0074948 -0.00017941 0.010624 0.0013604
-0.0057224 -0.0010336 -0.033773 -0.00092444
0.0049619 0.00053377 0.026452 0.00095328
0.0071785 -0.0021921 0.0087664 -0.00086361
-0.00053108 -0.00084515 -0.0024231 0.00062133
