Photon #,Steps,Kill Event,Starting Global x-Position,Starting Global y-Position,Starting Global z-Position,Ending Calorimeter x-Position (mm),Ending Calorimeter y-Position (mm),Energy (GeV),Steps Inside Matter,Distance Inside Matter (cm),dt,Kill Timestamp,x Calorimeter Angle,y Calorimeter Angle,Total Calorimeter Angle
0,7971,Heading Out,1.40366953444,-6.92102549901,0.00884139067656,0.0,0.0,0.107087524065,23,0.0068952265339999996,1e-12,1.4069e-08,0,0,0
0,8377,Heading Out,1.6193311626,-6.87381539188,-0.00857754785448,0.0,0.0,0.0494526600106,21,0.0062956416179999995,1e-12,1.4097e-08,0,0,0
0,1934,Calorimeter Contact,5.38653388294,-4.56689820103,9.85575084969e-05,-0.112227783009,8.90851152301e-05,0.54161219468,30,0.00899377374,1e-12,8.248e-09,1.53577665109,1.57077998941,1.58530199441
1,1104,Calorimeter Contact,5.2017270286,-4.73523856554,9.44727227541e-05,-0.0830071958542,8.90655241158e-05,0.180181268358,43,0.012891075694,1e-12,8.252e-09,1.59980245421,1.57077998972,1.49218647141
0,8230,Heading Out,-6.28924534232,-3.21174712543,-0.00600330281827,0.0,0.0,0.805843664355,40,0.011991698319999999,1e-12,1.3474e-08,0,0,0
0,3149,Calorimeter Contact,-4.2620027366,-5.59564614297,-0.0126071319131,-0.0907391928492,-0.0113179427385,1.50204878754,53,0.015889000274,1e-12,9.116e-09,1.48124084557,1.57216192437,1.53068294711
0,2277,Calorimeter Contact,6.61262798175,2.47852948649,-0.0142094249404,-0.111033479923,-0.015058837532,0.14997383618,12,0.003597509496,1e-12,6.395e-09,1.52169465694,1.5695519992,1.57117104081
0,7,Pair-Production in Short Quad,-5.2997675552,4.66708801847,0.0100723456233,0.0,0.0,0.200885137091,7,0.002098547206,1e-12,3.255e-09,0,0,0
1,1881,Calorimeter Top Contact,-5.29954869777,4.66729289934,0.0100732187983,0.0,0.0,0.10087237123,9,0.0026981321219999997,1e-12,5.13e-09,0,0,0
2,1841,Calorimeter Top Contact,-5.29867309542,4.66811223837,0.0100767114982,0.0,0.0,0.526902539161,5,0.0014989622899999999,1e-12,5.094e-09,0,0,0
